review_id,author,rating,content,date,thumbs_up,reply_content,reply_date
rev_001,Ahmad,1,Aplikasi sering crash ketika membuka jadwal kuliah. Sangat mengganggu!,2025-09-15,15,,
rev_002,Siti,5,Aplikasi sangat membantu untuk mengecek jadwal dan nilai. Interface juga mudah dipahami.,2025-09-16,8,,
rev_003,Budi,2,Login selalu gagal. Harus reset password berkali-kali. Tolong diperbaiki.,2025-09-17,12,,
rev_004,Dewi,4,Bagus tapi loading agak lama. Kalau bisa lebih cepat akan lebih baik.,2025-09-18,5,,
rev_005,Eko,1,Tidak bisa melihat nilai akhir semester. Fitur ini sangat penting!,2025-09-19,20,,
rev_006,Fitri,3,Desain kurang menarik. Bisa diperbaiki lagi.,2025-09-20,3,,
rev_007,Galih,5,Sempurna! Semua fitur berfungsi dengan baik.,2025-09-21,2,,
rev_008,Hani,2,Notifikasi tidak pernah muncul. Jadi sering ketinggalan info penting.,2025-09-22,18,,
rev_009,Indra,1,Aplikasi force close terus ketika dibuka di Android 13.,2025-09-23,25,,
rev_010,Joko,4,Overall bagus. Cuma perlu tambah fitur presensi online.,2025-09-24,6,,
rev_011,Kartika,2,UI/UX nya membingungkan. Sulit menemukan menu yang dicari.,2025-09-25,10,,
rev_012,Lutfi,5,Sangat terbantu dengan adanya aplikasi ini. Terima kasih!,2025-09-26,4,,
rev_013,Maya,1,Tidak bisa download transkrip nilai. Error terus.,2025-09-27,22,,
rev_014,Nanda,3,Lumayan bagus tapi masih banyak bug.,2025-09-28,7,,
rev_015,Omar,4,Fiturnya lengkap. Kalau performa ditingkatkan pasti lebih baik.,2025-09-29,9,,
rev_016,Putri,1,Aplikasi lemot banget. Loading lama sekali.,2025-09-30,30,,
rev_017,Rizki,5,Mantap! Semua informasi akademik ada di sini.,2025-10-01,5,,
rev_018,Santi,2,Dark mode nya tidak berfungsi dengan baik.,2025-10-02,8,,
rev_019,Tono,3,Informasi jadwal sering tidak update.,2025-10-03,11,,
rev_020,Umar,4,Aplikasi bagus. Semoga terus dikembangkan.,2025-10-04,3,,
